trip_id,device,lane,start_time,end_time,transporter
5b7f14c6fe2fd31124204c3d,550,a,2018-08-23T20:10:46.935Z,2018-08-25T04:15:21.899Z,a
5b7eab9ceda644744eaa4599,531,c,2018-08-23T12:42:04.772Z,2018-08-26T04:25:08.501Z,e
5b7e850838a06e4e7a1042f5,548,b,2018-08-23T09:57:28.566Z,2018-08-24T22:52:58.352Z,b
5b7e668a9972f0371bfed09d,444,c,2018-08-23T07:47:22.462Z,2018-08-29T04:11:20.666Z,c
5b7e66729972f0371bfed09c,166,c,2018-08-23T07:46:58.643Z,2018-08-29T04:11:20.666Z,c
5b7de1134ebff0398d602777,592,a,2018-08-22T22:17:55.505Z,2018-08-23T22:41:48.406Z,a
5b7dc3fcc87ce419aab14b76,502,b,2018-08-22T20:13:48.701Z,2018-08-24T09:36:04.161Z,c
5b7d5d1c1891f822e958be65,328,c,2018-08-22T12:54:52.638Z,2018-08-25T05:00:19.106Z,e
5b7d2d1a83d1d25d0ce2f8e6,594,b,2018-08-22T09:30:02.780Z,2018-08-23T22:21:18.538Z,b
5b7d28a683d1d25d0ce2f7aa,558,c,2018-08-22T09:11:02.020Z,2018-08-24T19:46:16.809Z,c
5b7c94359687093a69b6d917,518,b,2018-08-21T22:37:41.800Z,2018-08-23T08:32:08.135Z,c
5b7c78899687093a69b6d0b0,540,c,2018-08-21T20:39:37.610Z,2018-08-24T11:58:06.437Z,c
5b7c15f5fa13304a53d40725,543,c,2018-08-21T13:39:01.767Z,2018-08-23T23:33:07.259Z,e
5b7be07732266a2d6b291294,535,c,2018-08-21T09:50:47.847Z,2018-08-23T10:10:06.239Z,c
5b7bcf7a6e457a0a13bd0042,524,a,2018-08-21T08:38:18.953Z,2018-08-22T15:01:52.679Z,a
5b7bc8526e457a0a13bcfd6f,557,b,2018-08-21T08:07:46.427Z,2018-08-22T20:31:36.701Z,b
5b7b551f77f3ce184692855e,537,c,2018-08-20T23:56:15.359Z,2018-08-23T09:45:15.872Z,c
5b7b4f6e77f3ce18469283ea,523,b,2018-08-20T23:31:58.155Z,2018-08-22T16:52:59.077Z,c
5b7b09301247f65682c2ada5,528,a,2018-08-20T18:32:16.852Z,2018-08-22T04:33:19.599Z,a
5b7ac02cae1b047cdcd1ae71,574,c,2018-08-20T13:20:44.745Z,2018-08-23T23:25:52.246Z,e
5b7a7c6f3a93f15091cff70f,569,a,2018-08-20T08:31:43.152Z,2018-08-21T16:48:30.088Z,a
5b79e93a6938b25903b2906a,521,b,2018-08-19T22:03:38.369Z,2018-08-21T09:40:47.502Z,c
5b79c6c9e131d21b9bd227f2,542,c,2018-08-19T19:36:41.727Z,2018-08-22T19:23:32.101Z,c
5b79bbcbe131d21b9bd22540,598,a,2018-08-19T18:49:47.737Z,2018-08-21T12:23:11.335Z,a
5b7964f9e0a9bb48272df968,511,c,2018-08-19T12:39:21.332Z,2018-08-22T11:59:11.628Z,e
5b7951dfe0a9bb48272df533,619,a,2018-08-19T11:17:51.250Z,2018-08-21T12:23:26.244Z,a
5b7924dca257c52bcdd6e9ec,520,c,2018-08-19T08:05:48.759Z,2018-08-21T12:22:45.817Z,c
5b7889d8a228f32df7c8b94d,413,c,2018-08-18T21:04:24.439Z,2018-08-21T12:23:39.941Z,c
5b7875b0040e1e191c2aee47,502,b,2018-08-18T19:38:24.754Z,2018-08-20T14:32:20.744Z,c
5b7818cd9aa0b7319fb0cca1,592,c,2018-08-18T13:02:05.905Z,2018-08-21T12:22:58.197Z,e
5b77e04071b5c9716a6eff06,523,a,2018-08-18T09:00:48.433Z,2018-08-19T11:45:30.978Z,a
5b7740666b3ba24374d775a7,559,b,2018-08-17T21:38:46.154Z,2018-08-19T09:54:49.633Z,d
5b771cb7a59f7e1d5fc6a6b3,328,a,2018-08-17T19:06:31.162Z,2018-08-19T19:10:29.343Z,a
5b771bc6a59f7e1d5fc6a672,321,a,2018-08-17T19:02:30.245Z,2018-08-17T19:05:42.003Z,a
5b768ca59ec98f7f8ed3de6f,358,b,2018-08-17T08:51:49.187Z,2018-08-18T22:00:17.171Z,b
5b75ea62ca0f144e3db0a38f,166,c,2018-08-16T21:19:30.699Z,2018-08-19T19:10:44.204Z,c
5b75ce1269c2ed7f3d97f175,612,a,2018-08-16T19:18:42.462Z,2018-08-18T03:38:01.840Z,a
5b75889c90e30c39b08aa7ee,317,c,2018-08-16T14:22:20.207Z,2018-08-19T05:30:27.750Z,e
5b75409cfabe177478ed3409,446,a,2018-08-16T09:15:08.654Z,2018-08-17T12:11:57.747Z,a
5b7496bd3dc5ce477c3e9257,557,b,2018-08-15T21:10:21.904Z,2018-08-17T07:39:19.957Z,d
5b73ede5de00d478c9b61f8f,545,b,2018-08-15T09:09:57.696Z,2018-08-17T03:10:16.215Z,b
5b735aaf0f1cf47b5d587b27,532,b,2018-08-14T22:41:51.934Z,2018-08-16T08:38:31.809Z,d
5b733d50f146a359afc5b8aa,523,a,2018-08-14T20:36:32.879Z,2018-08-16T07:29:32.900Z,a
5b72b15af6a1ba400a7a3d86,558,b,2018-08-14T10:39:22.850Z,2018-08-15T23:12:13.950Z,b
5b71ef5a0333854952e0d1a8,530,a,2018-08-13T20:51:38.551Z,2018-08-16T07:31:31.125Z,a
5b71e7ac0333854952e0ceaf,330,c,2018-08-13T20:18:52.197Z,2018-08-16T07:29:54.702Z,c
5b71dee89e2ce428c253e6fd,515,b,2018-08-13T19:41:28.256Z,2018-08-15T05:47:11.248Z,d
5b71887e22a3794ce4077f3b,598,c,2018-08-13T13:32:46.847Z,2018-08-16T04:25:47.583Z,e
5b716d3638823f16167783bc,559,b,2018-08-13T11:36:22.355Z,2018-08-15T04:01:21.918Z,b
